"Date","JAPANESE YEN","EURO FX","BRITISH POUND STERLING","CANADIAN DOLLAR","AUSTRALIAN DOLLAR","SWISS FRANC","TOTAL"
"2019-12-03",-54.9128,-95.6216,-24.3697,16.1419,-24.923,-28.1615,-211.8466
"2019-12-10",-50.2561,-93.679,-18.6257,15.6725,-25.0953,-26.446,-198.4298
"2019-12-17",-47.9927,-91.5535,-4.7675,8.5004,-31.9323,-14.0993,-181.8449
"2019-12-24",-38.3259,-101.0715,7.037,6.4568,-31.9491,-12.3273,-170.18
"2019-12-31",-29.1131,-104.2282,10.2132,9.152,-26.8889,-7.3963,-148.2613
"2020-01-07",-14.1158,-86.0888,13.5635,20.3029,-18.7793,-5.7577,-90.8753
"2020-01-14",-35.7045,-67.0372,25.6175,25.1492,-14.1798,-0.2476,-66.4024
"2020-01-21",-50.8139,-65.2128,20.3019,29.3098,-13.2355,1.9836,-77.6669
"2020-01-28",-41.3027,-81.0498,14.3989,26.2368,-18.5873,4.4994,-95.8046
"2020-02-04",-25.0896,-103.7093,10.5623,13.9752,-29.0958,6.3492,-127.0081
"2020-02-11",-29.8019,-116.8789,17.043,7.2989,-21.9213,4.8186,-139.4417
"2020-02-18",-30.9911,-123.727,23.7844,5.8974,-25.0631,1.9624,-148.137
"2020-02-25",-63.7901,-154.7879,23.9948,11.0063,-28.9639,0.7876,-211.7532
"2020-03-03",-49.1329,-120.799,28.1145,7.9198,-34.1295,-4.233,-172.2601
"2020-03-10",9.766,-17.9729,21.3909,-1.4536,-35.3058,0.7963,-22.7792
"2020-03-17",38.4763,44.9528,14.1516,-6.8243,-17.3612,9.6435,83.0388
"2020-03-24",26.8996,82.7704,7.9617,-20.2379,-14.9498,6.2414,88.6854
"2020-03-31",21.1386,102.0945,3.8617,-15.4743,-19.4452,6.4225,98.5977
"2020-04-07",25.7239,108.1731,2.8423,-17.4209,-21.8307,7.2021,104.6899
"2020-04-14",26.3565,118.6154,2.5413,-17.102,-22.8103,6.0466,113.6475
"2020-04-21",30.2325,118.2438,-1.0645,-16.8351,-21.9145,6.3456,115.0078
"2020-04-28",37.781,107.96,-5.1954,-20.7382,-24.4602,7.1493,102.4965
"2020-05-05",31.9084,103.6468,-9.3434,-22.815,-21.5628,10.0457,91.8797
"2020-05-12",32.5222,105.8223,-10.5328,-22.9834,-22.9697,8.5608,90.4192
"2020-05-19",31.8995,99.1458,-14.5237,-25.1774,-25.8845,11.2291,76.6888
"2020-05-26",40.1787,103.006,-17.1016,-24.4941,-26.8291,11.2864,86.0464
"単位:億ドル Source:U.S. COMMODITY FUTURES TRADING COMMISSION,OANDA",,,,,,,
"CFTC建玉明細 米ドルの対6通貨ネットポジション",,,,,,,
